,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
16,1636-1050-1,2023-06-08 15:10:36.687,2023-06-08 15:15:36.687,307.75950889,17.07613306,2,{},0.2385549897199089,1.7156649691597268,3.0,0.5165362002748739,0.2385549897199089
17,5098-149-1,2023-06-08 15:16:16.687,2023-06-08 15:21:16.687,275.59914861,-1.20229806,2,{},0.1803748077914197,1.5411244233742591,3.0,0.08423515430506548,0.1803748077914197
18,466-1646-1,2023-06-08 15:21:56.687,2023-06-08 15:26:56.687,285.29761,2.48282444,2,{},0.18302701179657133,1.549081035389714,3.0,0.1561999016823974,0.18302701179657133
19,1683-481-1,2023-06-08 15:27:36.687,2023-06-08 15:32:36.687,329.25897111,17.68198861,2,{},0.496483131747835,2.489449395243505,3.0,0.7383344631415243,0.496483131747835
20,3633-823-1,2023-06-08 15:33:16.688,2023-06-08 15:38:16.688,342.32326444,50.97704444,2,{},0.24729519624611968,1.741885588738359,3.0,0.36365602481988507,0.24729519624611968
21,3198-1452-1,2023-06-08 15:38:56.688,2023-06-08 15:43:56.688,331.77560639,37.90077389,2,{},0.23439745936600653,1.7031923780980196,3.0,0.38645052735259106,0.23439745936600653
22,1633-1614-1,2023-06-08 15:44:36.688,2023-06-08 15:49:36.688,308.18226556,16.76723278,1,{},0.1736761692662383,1.521028507798715,4.0,0.34381398948921793,0.1736761692662383
23,2172-1566-1,2023-06-08 15:50:16.688,2023-06-08 15:55:16.688,315.59068583,23.32429111,1,{},0.1724561993183969,1.5173685979551907,4.0,0.4093734640291043,0.1724561993183969
24,1674-136-1,2023-06-08 15:55:56.689,2023-06-08 16:00:56.689,326.71721528,19.92345722,1,{},0.4832443333597981,1.8821565599059769,4.0,0.3942311223582038,0.4832443333597981
25,3274-1589-1,2023-06-08 16:01:36.689,2023-06-08 16:06:36.689,11.99595917,51.44477833,1,{},0.49495075592418464,2.484852267772554,4.0,0.4063475247169853,0.49495075592418464
26,3663-2668-1,2023-06-08 16:07:16.689,2023-06-08 16:12:16.689,10.12662278,56.53740694,1,{},0.3661353885788984,2.0984061657366953,4.0,0.28553896943741836,0.3661353885788984
27,3619-1622-1,2023-06-08 16:12:56.689,2023-06-08 16:17:56.689,335.09461361,51.86100083,1,{},0.13651644053916492,1.4095493216174948,4.0,0.1711636893915874,0.13651644053916492
28,5095-339-1,2023-06-08 16:18:56.689,2023-06-08 16:23:56.689,268.16126389,-6.14356083,1,{},0.2929831408531494,1.5549803466543952,4.0,3.433978857287837e-05,0.2929831408531494
29,3258-1897-1,2023-06-08 16:29:16.690,2023-06-08 16:34:16.690,2.64265111,52.316755,1,{},0.4816119359333791,1.8707548477481533,4.0,0.20435604013885403,0.4816119359333791
30,2267-1744-1,2023-06-08 16:34:56.690,2023-06-08 16:39:56.690,1.16709472,34.26513194,1,{},0.4963976409079887,2.489192922723966,4.0,0.32816714932589347,0.4963976409079887
31,451-985-1,2023-06-08 16:40:56.690,2023-06-08 16:45:56.690,281.15704639,2.12095556,1,{},0.11667409100618453,1.3500222730185536,4.0,0.006894751376261305,0.11667409100618453
32,1155-2186-1,2023-06-08 16:46:36.690,2023-06-08 16:51:36.690,341.67271694,12.17402028,1,{},0.44559854876316773,2.336795646289503,4.0,0.24989358197786996,0.44559854876316773
33,448-526-1,2023-06-08 16:52:16.691,2023-06-08 16:57:16.691,281.49342556,1.31704083,1,{},0.16596832490615399,1.3610313655377775,4.0,0.0027936493391724666,0.16596832490615399
34,3611-631-1,2023-06-08 16:58:16.691,2023-06-08 17:03:16.691,337.38803694,47.76384889,1,{},0.10485077979196214,1.3145523393758864,4.0,0.06516354381111832,0.10485077979196214
35,5734-462-1,2023-06-08 17:04:16.691,2023-06-08 17:09:16.691,292.74250028,-14.56322222,1,{},0.32500386163628275,1.9750115849088483,4.0,0.0331071700288146,0.32500386163628275
36,3271-962-1,2023-06-08 17:10:16.691,2023-06-08 17:15:16.691,14.884475,48.96640861,1,{},0.5575088101424464,2.034918644393621,4.0,0.06971389257738078,0.5575088101424464
37,2793-808-1,2023-06-08 17:15:56.691,2023-06-08 17:20:56.691,0.39020222,44.67544333,1,{},0.42611769441847275,1.6804484456091542,4.0,0.040099728839185965,0.42611769441847275
38,529-1856-1,2023-06-08 17:21:36.692,2023-06-08 17:26:36.692,321.46481667,0.53430889,1,{},0.24197631151276947,1.7259289345383084,4.0,0.2479045856544971,0.24197631151276947
39,3260-55-1,2023-06-08 17:27:01.974,2023-06-08 17:32:01.974,8.12505278,51.72825917,1,{},0.3253971094874783,1.6675235641146289,4.0,-3.3155910991587334e-09,0.3253971094874783
